Customer_Age,Gender,Annual_Income,Purchase_Frequency,Discount_Offered,Product_Category,Marketing_Spend,Seasonal_Demand_Index,Store_Location,Monthly_Sales,Purchase_Decision,Loyalty_Category
40,Male,85621.13,8,6.6,Home & Garden,7283.84,1.53,Airport,1103.5,Yes,Medium
33,Female,33126.94,4,22.8,Home & Garden,1178.15,0.75,Downtown,717.18,No,Low
42,Female,80143.97,12,21.6,Clothing,3363.04,0.88,Suburban,1417.53,No,High
53,Male,23335.76,10,27.1,Books,500.0,0.75,Mall,1072.76,No,Medium
32,Male,91172.56,10,1.0,Clothing,6866.89,1.06,Mall,1168.96,Yes,High
32,Male,103815.55,7,13.4,Electronics,9401.51,0.84,Suburban,1183.98,Yes,High
53,Female,49591.63,9,20.4,Clothing,572.49,1.07,Online,1072.59,No,Medium
44,Female,70935.7,12,2.9,Clothing,8476.62,1.33,Downtown,1145.83,Yes,High
29,Female,177164.51,5,12.3,Clothing,7382.63,0.3,Mall,1261.03,Yes,High
41,Female,51786.35,11,28.3,Home & Garden,2130.23,1.15,Downtown,1241.22,Yes,Medium
29,Male,39273.35,6,13.1,Clothing,5860.59,0.86,Mall,690.9,Yes,Medium
29,Male,139886.55,6,29.6,Home & Garden,500.0,1.14,Online,1448.56,No,High
37,Male,177912.81,6,1.7,Electronics,13426.38,0.73,Suburban,1277.61,No,High
18,Male,66809.67,9,21.5,Electronics,3996.8,1.36,Mall,1277.89,Yes,Medium
18,Male,110579.15,9,17.4,Groceries,4842.38,1.27,Airport,1472.73,No,High
28,Male,130417.12,6,15.0,Toys,5463.04,1.17,Downtown,1187.11,Yes,High
22,Female,46005.36,12,29.1,Toys,4120.48,1.24,Mall,1380.7,Yes,Medium
38,Female,52318.35,8,3.9,Beauty,9716.3,0.78,Online,728.38,Yes,Medium
24,Female,123400.76,6,26.9,Home & Garden,4704.22,0.81,Mall,1446.29,No,High
18,Female,154857.78,9,20.7,Home & Garden,11916.81,1.23,Downtown,1530.65,Yes,High
52,Female,88361.86,8,7.8,Home & Garden,4365.34,0.77,Downtown,992.28,No,High
32,Male,42952.41,7,27.1,Home & Garden,938.41,1.43,Suburban,1229.93,No,Medium
35,Female,180103.3,9,12.9,Electronics,12241.67,0.9,Downtown,1608.98,Yes,High
18,Female,51137.32,3,24.4,Groceries,5722.67,1.15,Suburban,774.67,Yes,Medium
28,Male,56397.85,10,11.7,Groceries,6007.2,1.63,Downtown,1309.33,Yes,Medium
36,Male,79136.08,10,25.5,Groceries,21161.74,0.79,Downtown,1523.03,Yes,High
